Bisch,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,"Studium Soziologie, Publizistik und Philosophie ",n,1983-1988,Universität Göttingen,n,Georg-August-Universität Göttingen (Göttingen),9292
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Buchhandelslehre,n,1981-1983,n,n,n,n
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Verlagstätigkeit,n,1989-1990,n,n,n,n
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Fachreferent Jura,n,1993-1994,USB Köln,n,USB Köln,727529
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Fachreferent BWL,n,1994-2013,USB Köln,n,USB Köln,727529
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html, Fachreferent Soziologie,n,2013-2015,USB Köln,n,USB Köln,727529
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Dezernent für dezentrale und assoziierte Bibliotheken,n,2000-2006 ,USB Köln,n,USB Köln,727529
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Dezernent für Benutzung,n,seit 2006,USB Köln,n,USB Köln,727529
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html,Leiter Stabsstelle Forschung und Entwicklung,n,seit 2015,USB Köln,n,USB Köln,727529
"Farago, Peter",FORS,Leiter Kompetenzzentrum Sozialwissenschaften FORS in Lausanne,,? - 2016,Kompetenzzentrum Sozialwissenschaften FORS in Lausanne,n,n,
"Farago, Peter",FORS,Professor,,? - 2016,Universität Lausanne,n,Université de Lausanne (Lausanne),3257
"Fitzenberger, Bernd",HU Berlin,Professor,"Lehrstuhl für Volkswirtschaftslehre, insb. Labor Economics",2004/04-2007/03,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Fitzenberger, Bernd",HU Berlin,Professor,Lehrstuhl für Statistik und Ökometrie,2007/04-2015/03,Albert-Ludwigs-Universität Freiburg ,Institut für Allgemeine Wirtschaftsforschung Abt. Empirische Wirtschaftsforschung und Ökonometrie ,Institut für Allgemeine Wirtschaftsforschung Abt. Empirische Wirtschaftsforschung und Ökonometrie (Freiburg im Breisgau),31382
"Fitzenberger, Bernd",HU Berlin,Professor,Lehrstuhl für Ökonometrie,2015/04,Humboldt-Universität Berlin,Institut für Ökonometrie,Institut für Statistik und Ökonometrie (Berlin),30103
"Fitzenberger, Bernd",HU Berlin,Studium,Master Statistics,1991/03-1991/12,Stanford University,,Stanford University (Stanford),10388
"Fitzenberger, Bernd",HU Berlin,Promotion,Ph.D.,1989/09-1993/03,Stanford University,,Stanford University (Stanford),10388
"Fitzenberger, Bernd",HU Berlin,Forschungsassistent und Assistent in der Lehre,n,1989/10-1993/03,Stanford University,,Stanford University (Stanford),10388
"Fitzenberger, Bernd",HU Berlin,Professor,"Volkswirtschaftslehre, insb. Sozialpolitik",1998/10-1999/09,Technische Universität Dresden,,Technische Universität Dresden (Dresden),12262
"Fitzenberger, Bernd",HU Berlin,Studium,Diplom Volkswirtschaftslehre und Mathe,1982/10-1989/09,Universität Konstanz ,,Universität Konstanz (Konstanz),3332
"Fitzenberger, Bernd",HU Berlin,Studium,Diplom Volkswirtschaftslehre und Mathe,1987/10,Universität Konstanz ,,Universität Konstanz (Konstanz),3332
"Fitzenberger, Bernd",HU Berlin,Studium,Vordiplom Mathematik,1989/06,Universität Konstanz ,,Universität Konstanz (Konstanz),3332
"Fitzenberger, Bernd",HU Berlin,Wissenschaftlichr Mitarbeiter,n,1993/04-1996/09,Universität Konstanz ,,Universität Konstanz (Konstanz),3332
"Fitzenberger, Bernd",HU Berlin,Habilitation,n,1993/04-1998/12,Universität Konstanz ,,Universität Konstanz (Konstanz),3332
"Fitzenberger, Bernd",HU Berlin,Professor,"Lehrstuhl für Volkswirtschaftslehre, insb. Ökonometrie",1999/10-2004/03,Universität Mannheim,,Universität Mannheim (Mannheim),3337
